Model,N,InferenceTime_ms
LSTM,10,27.774912014137954
XGBoost,10,1.402621972374618
MLP_NN,10,1.014921988826245
LSTM,10,28.054609952960163
XGBoost,10,1.3465770171023905
MLP_NN,10,1.0403729975223541
LSTM,10,29.456350952386856
XGBoost,10,1.4468650333583355
MLP_NN,10,1.029633975122124
LSTM,10,27.671512041706592
XGBoost,10,1.4629440265707672
MLP_NN,10,0.9555279975757003
LSTM,10,28.062267985660583
XGBoost,10,1.4130360214039683
MLP_NN,10,1.0099479695782065
LSTM,10,27.58218999952078
XGBoost,10,1.4157200348563492
MLP_NN,10,1.0410840041004121
LSTM,10,27.69938699202612
XGBoost,10,1.50165002560243
MLP_NN,10,1.06170802609995
LSTM,10,28.147556993644685
XGBoost,10,1.4136710087768734
MLP_NN,10,0.9903400205075741
LSTM,10,28.279196994844824
XGBoost,10,2.086671011056751
MLP_NN,10,1.0558199719525874
LSTM,10,27.87802298553288
XGBoost,10,1.294634013902396
MLP_NN,10,0.9889879729598761
LSTM,10,27.312880964018404
XGBoost,10,1.3537679915316403
MLP_NN,10,1.0246740421280265
LSTM,10,31.319033005274832
XGBoost,10,1.5270559815689921
MLP_NN,10,1.0151590104214847
LSTM,10,27.21230301540345
XGBoost,10,1.4914069906808436
MLP_NN,10,0.9970759856514633
LSTM,10,28.267020999919623
XGBoost,10,2.2617949871346354
MLP_NN,10,1.046188990585506
LSTM,10,29.252006963361055
XGBoost,10,1.3591269962489605
MLP_NN,10,1.0105720139108598
LSTM,10,27.490719046909362
XGBoost,10,1.3848519884049892
MLP_NN,10,1.005835016258061
LSTM,10,27.187594037968665
XGBoost,10,1.4394919853657484
MLP_NN,10,0.99523103563115
LSTM,10,27.957201993558556
XGBoost,10,1.3955790200270712
MLP_NN,10,1.00202695466578
LSTM,10,27.762993006035686
XGBoost,10,1.3675090158358216
MLP_NN,10,0.9958299924619496
LSTM,10,28.11607503099367
XGBoost,10,1.341825001873076
MLP_NN,10,1.0136529454030097
LSTM,10,28.177995001897216
XGBoost,10,1.3771569938398898
MLP_NN,10,1.0181519901379943
LSTM,10,27.937344973906875
XGBoost,10,1.3582389801740646
MLP_NN,10,0.9889299981296062
LSTM,10,27.532872976735234
